physical_score,damage_score,refurbish_value
9.6,9.87,5.81
6.35,8.84,4.27
5.95,0.35,7.43
6.45,7.34,4.93
5.7,1.36,6.88
5.95,2.31,6.65
3.35,5.4,3.85
7.45,8.88,4.92
4.4,0.72,6.35
4.05,8.6,2.99
3.4,1.72,5.35
5.4,0.28,7.13
5.45,4.27,5.56
9.5,4.94,7.72
6.0,0.78,7.29
6.15,3.05,6.47
4.25,9.58,2.72
6.55,5.01,5.93
5.1,8.04,3.84
6.6,3.98,6.37
5.5,4.55,5.48
5.65,1.99,6.59
4.1,9.22,2.77
7.75,8.25,5.35
3.65,5.54,3.97
3.85,5.82,3.98
4.95,1.89,6.21
5.65,4.58,5.56
6.35,3.02,6.6
8.7,9.67,5.35
6.65,1.01,7.59
7.45,6.4,5.91
5.3,3.85,5.64
9.25,4.36,7.81
6.05,8.59,4.19
4.5,0.98,6.31
4.9,2.06,6.12
4.75,0.66,6.59
5.65,1.37,6.84
4.9,2.06,6.12
2.95,0.96,5.39
6.45,3.54,6.45
4.8,8.32,3.55
7.35,0.96,8.03
6.25,5.19,5.67
7.5,1.75,7.8
5.3,5.35,5.04
3.95,7.42,3.4
2.65,6.29,3.07
6.7,9.79,4.1
6.65,4.1,6.35
5.1,4.51,5.26
3.45,3.87,4.52
4.8,9.41,3.12
6.5,3.64,6.44
7.4,3.25,7.14
4.6,4.9,4.8
4.15,2.69,5.41
3.65,7.49,3.19
3.35,7.34,3.07
8.5,8.52,5.69
4.45,1.5,6.07
5.1,4.74,5.16
6.0,1.87,6.85
4.65,0.99,6.39
8.0,0.48,8.61
4.35,4.64,4.75
4.8,1.26,6.38
7.3,7.7,5.3
4.25,2.57,5.52
4.15,3.24,5.19
4.75,7.21,3.97
6.65,5.12,5.94
5.8,0.11,7.44
3.5,2.34,5.16
4.45,1.25,6.17
6.6,4.54,6.14
5.45,9.31,3.55
5.45,1.07,6.84
5.8,5.35,5.34
7.05,8.87,4.68
5.95,8.7,4.09
5.95,9.52,3.76
6.9,0.56,7.92
7.75,0.77,8.34
5.4,5.11,5.2
7.25,2.24,7.45
3.85,9.25,2.61
3.7,5.36,4.08
6.65,6.38,5.44
4.05,3.88,4.88
6.15,9.37,3.94
6.4,6.04,5.42
5.65,8.26,4.09
5.05,9.36,3.29
9.0,3.2,8.12
8.9,7.86,6.2
4.25,9.5,2.75
8.4,9.96,5.06
5.8,5.26,5.38
6.0,9.54,3.78
1.9,4.97,3.15
5.85,6.51,4.91
4.75,9.27,3.14
5.55,8.15,4.07
5.3,0.77,6.87
2.95,8.98,2.18
4.8,9.97,2.89
5.65,3.32,6.06
5.75,8.46,4.07
5.3,9.09,3.54
6.7,4.7,6.14
5.1,7.83,3.93
5.7,1.92,6.65
4.8,5.29,4.76
5.2,4.65,5.26
3.7,5.81,3.9
7.45,6.58,5.84
6.65,8.8,4.47
5.85,9.62,3.66
5.9,0.79,7.22
3.1,1.87,5.11
5.2,3.56,5.7
7.05,7.26,5.33
8.7,9.51,5.42
5.7,7.57,4.39
7.2,9.68,4.45
5.2,8.94,3.54
5.5,3.89,5.74
6.9,1.54,7.52
5.75,9.16,3.79
6.0,3.38,6.25
4.0,9.19,2.72
5.55,6.58,4.7
6.5,2.02,7.09
3.8,6.52,3.67
4.4,5.48,4.45
5.8,2.84,6.34
7.4,6.28,5.93
5.2,7.55,4.1
3.55,8.05,2.91
7.0,5.92,5.83
6.5,2.74,6.8
5.75,7.9,4.29
4.8,9.77,2.97
3.7,9.48,2.43
7.0,2.97,7.01
7.45,8.99,4.87
4.0,9.09,2.76
4.2,5.42,4.35
5.5,7.05,4.48
3.5,7.27,3.19
6.3,8.31,4.46
2.85,1.22,5.22
4.75,5.66,4.59
6.55,0.36,7.79
4.15,3.34,5.15
6.4,8.64,4.38
6.3,5.0,5.78
5.95,5.75,5.27
5.65,7.79,4.27
7.05,1.75,7.53
5.35,3.84,5.67
6.95,3.19,6.89
5.1,7.82,3.93
4.95,5.02,4.96
4.1,3.06,5.24
5.05,4.01,5.43
7.3,1.03,7.97
6.8,3.15,6.82
5.75,1.19,6.97
5.15,2.85,5.95
5.2,9.11,3.48
6.9,9.42,4.37
4.2,7.71,3.44
7.3,2.77,7.27
4.5,2.62,5.65
5.75,9.84,3.51
4.95,4.66,5.11
3.6,5.85,3.82
3.35,3.92,4.44
6.2,8.4,4.36
4.3,1.74,5.88
4.7,4.23,5.13
4.25,4.2,4.87
5.5,9.07,3.67
5.0,7.99,3.8
4.05,1.48,5.84
5.55,1.13,6.88
5.9,1.37,6.99
7.85,5.75,6.41
4.4,5.39,4.48
6.4,3.6,6.4
4.8,3.16,5.62
1.9,4.08,3.51
3.7,0.0,6.22
6.5,9.81,3.98
4.9,2.4,5.98
7.6,6.39,6.0
6.8,1.88,7.33
5.1,2.56,6.04
6.85,9.49,4.31
6.55,9.62,4.08
6.65,5.4,5.83
6.4,9.3,4.12
4.8,2.07,6.05
4.7,7.07,3.99
4.9,4.09,5.3
7.4,0.88,8.09
3.8,2.89,5.12
4.4,10.0,2.64
6.8,6.21,5.6
3.3,7.55,2.96
6.2,6.15,5.26
3.25,5.98,3.56
5.55,6.67,4.66
7.7,2.79,7.5
5.1,1.58,6.43
5.55,2.08,6.5
5.85,1.88,6.76
2.55,0.82,5.2
3.65,5.75,3.89
4.5,3.57,5.27
5.3,1.52,6.57
6.3,5.72,5.49
3.95,1.45,5.79
4.1,9.21,2.78
6.85,0.11,8.07
2.65,4.73,3.7
6.0,2.25,6.7
5.15,3.61,5.65
3.45,7.55,3.05
4.9,3.74,5.44
5.5,7.74,4.2
8.45,1.04,8.65
4.55,6.94,3.95
7.55,5.9,6.17
5.45,8.01,4.07
5.6,3.62,5.91
5.7,1.83,6.69
4.4,6.8,3.92
5.15,4.25,5.39
2.4,4.33,3.71
7.2,4.59,6.48
4.5,6.73,4.01
6.45,1.03,7.46
5.55,5.2,5.25
6.55,3.39,6.57
6.7,8.55,4.6
4.05,5.21,4.35
5.75,1.89,6.69
4.1,9.25,2.76
5.8,8.3,4.16
8.2,3.72,7.43
7.9,5.85,6.4
5.85,0.41,7.35
5.75,2.29,6.53
6.5,3.93,6.33
6.6,2.31,7.04
2.85,2.66,4.65
4.45,7.25,3.77
4.75,9.28,3.14
7.9,5.28,6.63
7.5,3.51,7.1
4.45,9.65,2.81
3.3,4.26,4.28
8.5,9.02,5.49
6.85,4.41,6.35
6.75,1.22,7.56
5.5,2.63,6.25
4.8,7.49,3.88
6.5,6.76,5.2
5.4,2.67,6.17
4.0,2.67,5.33
5.5,2.72,6.21
2.5,8.0,2.3
8.3,2.17,8.11
6.6,7.25,5.06
7.45,0.19,8.39
6.35,7.08,4.98
5.35,7.58,4.18
5.1,0.78,6.75
4.05,2.96,5.25
8.1,4.48,7.07
2.9,7.18,2.87
5.95,1.72,6.88
5.15,9.71,3.21
5.4,3.57,5.81
4.05,8.53,3.02
5.75,6.91,4.69
4.9,7.27,4.03
1.8,7.45,2.1
6.85,2.9,6.95
5.35,4.63,5.36
5.3,7.64,4.12
2.5,6.31,2.98
6.0,5.93,5.23
6.2,7.55,4.7
6.3,9.35,4.04
3.9,4.69,4.46
